Location,Date,Morning,Afternoon,Night,Summary,SummaryWhen,MinTemp,MaxTemp,
Langkawi,21/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,26,30,
Langkawi,20/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,26,30,
Langkawi,19/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,26,30,
Langkawi,18/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,26,30,
Langkawi,17/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,26,30,
Langkawi,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan di kebanyakan tempat,Ribut petir di beberapa tempat,Petang,26,30,
Langkawi,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di beberapa tempat,Ribut petir di kebanyakan tempat,Petang,26,30,
Perlis,21/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,30,
Perlis,20/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,30,
Perlis,19/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,30,
Perlis,18/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,30,
Perlis,17/10/2025,Ribut petir di beberapa tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di beberapa tempat,Pagi dan Petang,25,30,
Perlis,16/10/2025,Tiada hujan,Ribut petir di beberapa tempat,Hujan menyeluruh,Ribut petir di beberapa tempat,Petang,25,30,
Perlis,15/10/2025,Tiada hujan,Ribut petir di kebanyakan tempat,Hujan di kebanyakan tempat,Ribut petir di kebanyakan tempat,Petang,25,30,
Kubang Pasu,21/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,30,
Kubang Pasu,20/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,30,
Kubang Pasu,19/10/2025,Ribut petir di kebanyakan tempat,Ribut petir di beberapa tempat,Tiada hujan,Ribut petir di kebanyakan tempat,Pagi dan Petang,25,30,
